stimulus_id,product_category,filming_location,target_of_toy_ad,interaction,voice_type,voice_age,voice_gender,voice_exagg,asian,black,white,other,title,description,upload_date,transcript,domesticity_nurturing_cues,consumerism_cues,fashion_beauty_cues,nature_animals_cues,love_tenderness_cues,magic_fantasy_cues,action_adventure_cues,fight_combat_cues,speed_racing_cues,horror_monsters_cues,science_technology_cues,sports_cues,gross-out_cues,fun_play_cues,arts_crafts_cues
ndzo2ZIWfiQ,High-tech Interactive Playmates and Robotics,Non-specific,Girls/women,They do not interact with each other or there is only one actor/presenter,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Tessie Goes Trotting TV commercial,,20120907," Tessie goes trotting. Tessie adores a cuddle and then a little trotting. She loves to trot with her friends, especially... Fluffy go walking. She's lovely, she's friendly, she loves to walk. Watch her walk along, then bark a little song. Off she goes with her friends.",,,,trotting bark,adores cuddle loves fluffy lovely friendly,,,,,,,,,,song
yRUiwRKk6QM,High-tech Interactive Playmates and Robotics,Indoors,Mixed,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,Yes,Yes,No,Smyths Toys - Star Wars Jedi Training Remote,"Now you can train like a Jedi! Use the power of the Force to control this miniature droid used in Jedi combat training. Jedi Training Remote is propeller powered, and features repulsors, as seen on the original Jedi Training Remote featured in Star Wars, ‘A New Hope’. Train like Luke Skywalker and avoid the simulated sting beams which fire at random! Switch between 2 modes using the RC handset (included). Mode 1 allows Remote Control function to govern speed and height plus manual fire of the Sting Beams. Mode 2 is ‘Force Control’ which sets the Jedi Training Remote into Auto Hover using Artificial Intelligence, just like the original in the movie! In Mode 2 you can use the power of the Force and control its height by waving your hand, feet or any solid deflecting object below it. In constant use Jedi Training Remote will Auto Fly for 5-6 minutes. Recharges in less than 30 minutes using the USB cable included.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/star-wars/star-wars-jedi-training-remote/p/161992

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/star-wars/c/SM06010118",20170920," Now you can train like a Jedi! Learn the power of the Force with the Jedi Training Remote from Star Wars! Use the Remote Control handset to keep your remote in the air. Or switch to Force Control and control your remote using your hands, feet, or any solid object. The Jedi Training Remote uses motion sensing technology to know what's below and hover above it. Just watch out for those sting beams! The Jedi Training Remote, powered by Heli-Ball.",,,,,,,jedi,jedi wars sting beams,,,jedi stars remote control handset force sensing technology beams,train,,,
3ysC1-foJT4,"Apparel, Fashion, Accessories, Cosmetics, Costume and Dress-Up (not Dolls)",Indoors,Girls/women,They are working or playing together in a cooperative way,Sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,Aqua Crystals- Smyths Toys,"Just add water to make endless crystal creations with the Aqua Crystals Deluxe Design Studio. With everything you need to make sparkly rings, hair accessories, dream charms, necklace pendants, bracelets, key rings and other magical creations. The possibilities are endless.

To start simply choose your mould, fill with the colourful magical crystal to create a unique design, then simply add water and wait for your creations to be revealed.

These sparkling crystal accessories are ideal to experiment and accessorise with. Perfect as gifts for your friends or keep for yourself!

Purchase products at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/creativity-music-and-partyware/fashion-craft/aqua-crystals-deluxe-design-studio/p/167411",20180802," Magic Aqua Crystals, whoa! Magic Aqua Crystals! Cool design? You create a crystal trend that you can make. Collect them all in any shape! Magic Aqua Crystals! Choose a design? Pick the colored crystals that you want. Add the water and it's done! Easy as 1, 2, 3! Share with friends and family! Unique rings for you to wear! And fashion charms for fashion girls! Snap a selfie, you look great!",,rings charms,cool design  wear fashion charms selfie ,,,magic ,,,,,,,,,
cYszuGaptkk,"Action Figures, Battling Toys and Toy Weapons",Non-specific,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,Yes,Yes,No,PAW Patrol Dino Rescue HQ Playset - Smyths Toys,"Create your own exciting dino rescue missions with the PAW Patrol Dino Rescue HQ! Featuring sounds and a spiralling transformation into tower mode, this awesome playset looks just like the high-tech headquarters from the show! The Dino Rescue HQ has everything you need for your missions, including an exclusive Rex figure and vehicle, plus a mystery mini dino figure.

Shop the PAW Patrol Dino Rescue HQ here: https://www.smythstoys.com/toys/pre-school-and-electronic-learning/paw-patrol/paw-patrol-dino-rescue-hq-playset-with-sounds-and-exclusive-rex-figure-and-vehicle/p/188281

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #PAWPatrol #DinoRescue",20201028," New Paw Patrol Dino Rescue! Introducing Rex and the Dino HQ! Let's get our Dino mission! Dino HQ's Spiral Transform! The T-Rex needs our help! Rex, use the zip line! Little heroes, big Dino rescues! Paw Patrol Rescue's Dino HQ comes with Mr.",,,,paw,,,HQ patrol rescue mission heroes,,,,transform,,,,
2LZjLBipdfI,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,VIP Pets Fabio & Fabia's Hair Salon Playset- Smyths Toys,"Fabio & Fabia's Hair salon is the most loved place in the VIP Pets series and now it’s a playset. This is where our friends the VIP Pets go to get their fantastic super long hair done! The playset comes with exclusive VIP Pet Kiara. Start by washing their hair with real water. Next you can sit your VP in the styling chair and comb her hair.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/vip-pets-fabio-and-fabia-s-hair-salon-playset/p/190613

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20201106," It's Fabio and Fabia's Hair Salon! It comes with cura, wash your hair, and color, yeah! So many accessories! Add a sparkly touch with the glitterizer! I love VIP Pets!",,accessories,hair saloon  sparkly glitterizer VIP,pets,love,,,,,,,,,,
_ob7euNGFxw,Dolls,Non-specific,Girls/women,They do not interact with each other or there is only one actor/presenter,Sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,Yes,Yes,No,Smyths Toys -  Bratz Study Abroad,"Bratz Study Abroad Cloe Doll
The Bratz friends have studied abroad and visited some amazing places. Cloe has travelled to China. Here Cloe has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Cloe doll comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14728/bratz-study-abroad-cloe-doll/

Bratz Study Abroad Raya Doll
The Bratz friends have studied abroad and visited some amazing places. Raya has travelled to Mexico. Here Raya has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Bratz doll Raya comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14743/bratz-study-abroad-raya-doll/

Bratz Study Abroad Jade Doll
The Bratz friends have studied abroad and visited some amazing places. Jade has travelled to Russia. Here Jade has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Bratz doll Jade comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14732/bratz-study-abroad-jade-doll/

Bratz Study Abroad Yasmin Doll
The Bratz friends have studied abroad and visited some amazing places. Yasmin has travelled to Brazil. Here Yasmin has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Bratz doll Yasmin comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14735/bratz-study-abroad-yasmin-doll/",20151020," Brad study abroad! Pack your bags, catch your flight Chloe in China, what a sight! Jade rocks Russia cool Fuzzy hat, secret jewels Yasmin going Brazilian Two outfits look like a",,,bags hat jewels outfits,,,,,,,,,,,,
iwMf1aU3h2Q,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Disney Princess Hair Play Feature Rapunzel Doll- Smyths Toys,"Have the best day ever with Disney Princess Hair Glow Rapunzel, part of Disney’s Ultimate Princess Celebration program!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/disney-princess/disney-princess-hair-play-feature-rapunzel-doll/p/200015

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/disney-princess/c/SM06010411

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20211102," Now from Disney's Ultimate Princess Celebration, it's Hair Glow Rapunzel. Best hair day. When you brush her hair, it glows. Style Rapunzel's hair and your own with super cute accessories. She sings, too. Do I just be a lie? Hair Glow Rapunzel sings and composes.",,accessories,hair brush ,,cute,glow princess rapunzel ,,,,,,,,,sings composes
tTmh2c2AtXw,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,MLP: Sunset Shimmer - Celebrity Fashion Stylist Laura Schuffman's Inspiration,"Subscribe to the Smyths Toys Superstores YouTube channel: https://goo.gl/rAosm1

Official Smyths Toys Superstores website:  https://www.smythstoys.com/",20180108," Hi, I'm celebrity fashion stylist Laura Sheffman. It doesn't get any more A-list than my newest clients, the Equestria Girls. Sunset Shimmer has an edgy rocker look. She loves leathers and she loves studs, and she mixes them all together, and what comes across is this amazing blend of edgy and rocker chic. Each doll sold separately, and each one is a unique design. Each one is a unique design.",,leathers,celebrity fashion stylist shimmer  chic design ,,,,,,,,,,,,
suodJ1Iq-kI,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,L.O.L Surprise Big B.B. Doll- Smyths Toys,"Introducing LOL Surprise Big B.B. (Big Baby), a BIG version of a fan favourite character with real fashions and cute accessories to unbox.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/l-o-l-surprise-big-b-b-big-baby-bon-bon-28cm-large-doll/p/193290

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/c/SM06010488

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210201," LOL Surprise Big Beavies! Guess who bought at the store? Look! I'm so big! We're Big Big Beavies! We love to unbox! Me and my Beavie are gonna do some unboxing! Don't you love our style? Look what we just got! Check out these shoes! Fab earrings! This tutu is too too! Like, like, like! Fans galore! Unbox those boots! We're Big Big Beavies! Bigger than before! LOL Surprise Big Beavies! You've sold separately. We're so big!",,bought store unbox shoes earrings tutu boots, style,,,,,,,,,,,,
CpSWTA48JDQ,Dolls,Indoors,Girls/women,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,Yes,Yes,No,Bush Baby World Sleepy Pod- Smyths Toys,"NEW to the Bush Baby World collection is the Shimmies with pods! These adorable Bush Babies have sparkly eyes that wiggle and ears that waggle. They are made from super soft cuddly fabric with a glittery tummy and shimmering paws. They have a cute silver nose too! Each Bush Baby comes with a special shimmer pod; at night close the glittery star door to stay warm and cosy. The Pods also have a hanging stalk so you can hang them on the Dream Tree, New Shimmer Palace or anywhere you wish! There are 4 Shimmies to collect – Pearl, Maddi, Monti and Teena(Each sold separately).

Purchase product at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/bush-baby-world-sleepy-pod-pearl/p/167956002",20180803," Hi, I'm Princess Melina. Look at the new royal carriage. Come and join all my bush baby friends for a shimmer-tastic party. We can wiggle our eyes and waggle our ears. Time for a royal feast. Hi, Starlina. I love your carriage, pod, and picnic basket. And here's my sparkly friends, the shimmies. Don't you love their super cute pods? Meet all of the bush babies.",baby,,shimmer sparkly,,cute love,princess royal ,,,,,,,,party wiggle,
