stimulus_id,transcript,title,description,upload_date,duration
lldUm6XHTvA,"Looking cool on the slopes for some Barbie winter fun! Every day is a perfect winter day! Let's skidoo! Skate! Snowboard! Ski and shred the slopes with your best friends! With multi-coloured play suits and loads of cool accessories! Stay warm, hydrated and safe for all day winter!",Barbie Winter Fun Only at Smyths Toys,"Check out the brand-new Barbie Winter toys available ONLY at Smyths Toys!

Shop the full range here: https://www.smythstoys.com/uk/en-gb/search/?text=barbie+winter

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #BarbieWinter",20221106.0,30.0
6_c5AuYx5t8,"We love to squish our Squeez-a-Malls. Squeeze them out and watch them grow. They squish and squeeze and feel amazing. They're soft and cute and feel so crazy. Watch them rise back into size like magic. Right, Bean, for your eyes. Squeez-a-Malls are unbelievably soft and squishy. You won't ever want to put them down. And they're scented, too. They smell so good. You'll want to squeeze them all. We love to squish our Squeez-a-Malls. Squeeze them out and watch them grow. Must be 18 or older to order. Each sold separately from...",Squeezamals- Smyths Toys,"It's the Squeezamals, the cutest, cuddliest pets around. They're super soft, super squishy and scented too! Collect 16 different Squeezamals characters. Hug them, squeeze them and smell their sweet tropical scent. You'll never be able to put them down.

Purchase product at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/squish/squeezamals-assortment/p/165444",20180803.0,34.0
U0ZK12Eyrac,Barbie! Hey! Airbrush designer You can express yourself Click it in Twist and spray Super cool All the way Wash it out Do it again So much fun to design Let the artist in you shine Barbie Airbrush,Smyths Toys - Barbie Airbrush Designer Studio and Doll Set,"Budding fashion designers will love this Barbie Airbrush Designer Studio and Doll Set. Create your own Barbie doll custom designed clothing. Barbie has never looked so stylish. It’s so easy to use. Choose a fashion, stencil and colour airbrush marker. Place the selected fashion on the dress form and hang the dress form on the craft station. Then put an airbrush marker in the airbrush and adjust the spray. Hang a stencil over the fashion or design freehand for a totally unique look and spray. Try one colour or mix and match. When you are ready to design a new piece its simple with these washable fabric fashions. Simply wash and start designing again.

http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-486/barbie/p-12895/barbie-airbrush-designer-studio-and-doll-set/",20150922.0,20.0
0e2IvWJljOA,"Bluey's going on a caravan adventure! Ooh, let's set up here! There's a kitchen, picnic set and bones! Who's your friend, Bluey? This is Jean-Luc! Bonjour! OK, who's hungry? Let's catch a wild pig! There's one! Let's toast marshmallows! Camping is fun, but it's time for bed Stop bugging me Time to pack up On to our next adventure Louise Caravan Adventures",Bluey's Caravan Adventures - Smyths Toys,"Go on a caravan adventure with Bluey's family and friends. Bluey's Caravan Adventures Playset is loaded with features and things to do as you take a caravan vacation! 

Buy Online Now 👉https://www.smythstoys.com/ie/en-ie/toys/pre-school-and-electronic-learning/bluey/bluey-s-caravan-adventures/p/206324

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20220203.0,35.0
hUesoJPchMg,"I've got a tricky mission. It's okay, we have a Nerf Blaster for every mission. Compact, quick draw, slam fire, Accustrike precision. Expecting any zombies? Even worse. Something customizable perhaps? Smith's Toy Super Stores, a Nerf Blaster for every mission. I'll take the lot. Thought you might.",Smyths Toys - Nerf Blasters,Have you got a tricky mission? It's Nerf or nothin'!,20170719.0,30.0
4AcBSWI2uTs,"Bring the movie magic home at Smith's Toy Superstores with 7 off these walk and talk Minions! The Cars 3, RC Lightning McQueen and Jackson Storm are 19.99! The Transformers Last Night Bumblebee is now 17.99! And the Spider-Man Web City Vehicle is only 24.99!",UK Smyths Toys - Bring The Movie Magic Home,,20170713.0,20.0
idej0H0pBtA,"Meet Change and Chat Hank! No memories, no problems. Hank really chats! Here we go! And changes color to match wherever you place him! Just like in the movie, Hank changes color anytime you want! Great idea! Change and Chat Hank!",Smyths Toys - Disney Pixar Finding Dory Change and Chat Hank,"From the Disney Pixar movie Finding Dory comes the Change and Chat Hank Figure. Take your favourite septipus Hank with you on your Finding Dory adventures as he changes colours to camouflages into the background. Hank also says his favourite lines and phrases from the Finding Dory movie. This Finding Dory Change and Chat Hank starts off as translucent, and once placed on a solid colour background, he will change to that colour and trigger a phrase from the movie! Buy now at http://www.smythstoys.com/uk/en-gb/toys/action-figures-playsets/c-974/finding-dory/p-17985/disney-pixar-finding-dory-change-and-chat-hank/?cmp=cel&trigger=ac",20160819.0,19.0
dbPBv_d6Jmg,"Hey parents, check out this fun toy from Hasbro!",Lost Kitties Surprise Single Pack - Smyths Toys,"Lost Kitties characters have a mind of their own! They love adventures, and always seem to end up hiding in a carton. Can you find who'z hidin inside? Each carton includes a Lost Kitties figure, 2 accessories, and a meme sticker -- all hidden inside a soft, shaping compound. The included shaping compound can be used to create all kinds of cool things for the kitties. Every Lost Kitties figure belongs to a squad that has its own unique personality. Use the included collector's guide to search for individual characters or complete squads. Each kitty squad has its own mischievous interests and personalities -- such as #adorbs, #scaredycats, and #nomz. Collect them all! (Each sold separately. Subject to availability.)

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/lost-kitties/lost-kitties-surprise-single-pack/p/167638

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20180928.0,32.0
yrE1G8ytOI4,"Smash it, whack it, and get in the game. This is Swing Bowl. Flip the case, fill the base, place the pole, and grab a checker bat. It's a Grand Slam high active workout. Swing Bowl outside or inside and on any surface. First to the top or bottom is a Swing Bowl workout.",Smyths Toys - Swingball,,20140508.0,20.0
5YNwsBRq7Kc,Prepare for the show with Our Generation Dolls Equestrian Range. Feed the foal. Plait their hair. And saddle up for horse show fun. So many amazing horse adventures. This is our time. This is your story. Our Generation Dolls.,Our Generation Equestrian Range at Smyths Toys,"Enjoy the big horse event with Our Generation Equestrian Range at Smyths Toys.

Shop here: https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/our-generation/our-generation-equestrian/c/our-generation-equestrian-collection

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #ourgeneration #dolls",20240920.0,30.0
