stimulus_id,Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,Many Instruments/Few Instruments,Wide pitch variation/Narrow pitch variation,Clear melody/No melody,Repetitive/Non-repetitive,Complex rhythm/Simple rhythm,Fast tempo/Slow tempo,Strong beat/Weak beat,Electric/Acoustic,Distorted/Clear,Loud/Soft,Heavy/Light,High pitch/Low pitch,Punchy/Smooth,Harmonious/Disharmonious,Dense/Sparse,voice_age,voice_gender,voice_exagg,voice_type,target_of_toy_ad
ndzo2ZIWfiQ,high,low,high,high,high,high,high,Many Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
yRUiwRKk6QM,low,high,low,low,high,high,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
3ysC1-foJT4,high,low,high,high,high,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
cYszuGaptkk,low,low,low,low,high,high,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Heavy,Low pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
2LZjLBipdfI,high,high,high,high,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
_ob7euNGFxw,low,high,high,low,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Non-repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Light,High pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
iwMf1aU3h2Q,high,low,high,high,high,high,high,Few Instruments,Wide pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
tTmh2c2AtXw,low,low,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
iAdS053L7L0,low,high,low,low,high,high,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
suodJ1Iq-kI,low,high,high,low,low,high,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
kEszobB-abk,low,low,low,low,low,high,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Loud,Heavy,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
_OzTx2Sushc,low,low,low,low,low,high,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
CpSWTA48JDQ,high,low,high,high,low,high,low,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
x85TYyRIRwU,high,low,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Clear,Loud,Light,High pitch,Smooth,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
