stimulus_id,Happy,Beauty,Calm,Energizing,Angry,Electric/Acoustic,Distorted/Clear,Heavy/Light,Punchy/Smooth,Harmonious/Disharmonious,voice_age,voice_gender,voice_exagg,voice_type,target_of_toy_ad
ndzo2ZIWfiQ,very,very,very,moderately,moderately,undefined,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
yRUiwRKk6QM,not,moderately,moderately,very,moderately,Acoustic,undefined,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
3ysC1-foJT4,moderately,very,moderately,moderately,not,Electric,Distorted,undefined,Punchy,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
cYszuGaptkk,moderately,moderately,moderately,moderately,moderately,undefined,Distorted,undefined,Smooth,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
2LZjLBipdfI,very,very,very,moderately,not,Acoustic,undefined,undefined,Smooth,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
_ob7euNGFxw,moderately,moderately,not,not,not,Electric,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
iwMf1aU3h2Q,moderately,moderately,moderately,very,very,Electric,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
tTmh2c2AtXw,not,very,very,not,not,Electric,Clear,undefined,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
iAdS053L7L0,not,not,not,very,very,undefined,undefined,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
suodJ1Iq-kI,moderately,very,not,moderately,very,undefined,Clear,undefined,Punchy,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
kEszobB-abk,not,not,not,not,very,Acoustic,undefined,undefined,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
_OzTx2Sushc,not,not,not,not,very,Electric,undefined,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
CpSWTA48JDQ,very,very,very,moderately,moderately,undefined,undefined,undefined,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
x85TYyRIRwU,moderately,very,moderately,moderately,not,Electric,Clear,undefined,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
AB8ud4ogIvo,not,very,very,not,not,undefined,undefined,Light,Smooth,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
WnkUUi5AwQo,very,moderately,moderately,moderately,not,Electric,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,Girls/women
04YHrUko8yI,not,not,moderately,moderately,moderately,Electric,undefined,Heavy,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
TjHHKNWKMPE,not,moderately,not,very,very,Acoustic,undefined,Heavy,Punchy,Harmonious,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
cvvhKy1PFn8,not,not,not,very,very,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
FhyVUb25Ilc,not,not,not,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
gXO6upZqhNc,not,not,not,moderately,very,undefined,undefined,undefined,undefined,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
Eej5_xQMdF0,moderately,very,very,moderately,not,undefined,undefined,undefined,Smooth,undefined,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
MzsYGbir9i4,moderately,not,not,moderately,moderately,Acoustic,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
CNuIw1S2OMM,moderately,not,moderately,not,not,Electric,Distorted,Light,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
c3lOglJbNMo,moderately,very,not,not,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
ZaWRrNOseg4,moderately,moderately,not,not,not,Electric,undefined,Light,Punchy,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
PjA-VYesTtw,very,very,moderately,moderately,not,undefined,Clear,Light,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
xNGvheoGSrE,very,very,moderately,very,moderately,Electric,undefined,undefined,Punchy,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
